Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
miranda,1469403325.103874,False,0,1000,0,0,5.70348,5.9881,5.73,6,0.0290653,120,1,444.737386,1.013933,*
*,*,*,2.19365,990,0.01,1,5.71327,4.59791,5.73,4.6,0.0168595,119,3,2268.620230,1.006378,-0.0176446
*,*,*,6.56463,980,0.02,2,6.24194,4.61749,6.23,4.6,0.0211745,117,4,4163.171979,1.006568,-0.0358809
*,*,*,19.6118,940,0.06,3,6.22236,5.48881,6.23,5.5,0.0135529,111,2,4430.507205,3.252774,-0.0701646
*,*,*,23.9412,940,0.06,4,6.71186,5.46923,6.73,5.5,0.0357202,109,4,4235.332078,1.007242,-0.10679
*,*,*,30.5972,940,0.06,5,6.68249,2.83569,6.73,2.8,0.0594225,106,2,4432.489786,3.193722,-0.154567
*,*,*,34.9497,940,0.06,6,6.20278,2.84548,6.23,2.8,0.0530069,104,4,6415.563858,1.015109,-0.169755
*,*,*,45.9396,920,0.08,7,6.19299,4.15735,6.23,4.1,0.0682617,99,4,6943.664956,1.004471,-0.221196
*,*,*,50.3571,920,0.08,8,5.6839,4.02029,5.73,4.1,0.0920779,97,3,8111.349720,1.008686,-0.259058
*,*,*,56.9844,900,0.1,9,5.75243,2.81611,5.73,2.8,0.0276176,94,3,7633.532964,3.226613,-0.230713
*,*,*,61.4173,890,0.11,10,5.21398,2.84548,5.23,2.8,0.0482221,92,4,8057.246147,1.007278,-0.261167
*,*,*,70.1287,870,0.13,11,5.22377,4.58812,5.23,4.6,0.0134172,88,3,7610.331230,1.006633,-0.265063
*,*,*,74.5463,870,0.13,12,4.33287,4.58812,4.33,4.6,0.0122217,86,3,7722.006833,1.006351,-0.284166
*,*,*,81.1777,860,0.14,13,4.36224,5.13636,4.33,5.1,0.0485967,83,3,7213.855809,5.417858,-0.336448
*,*,*,85.5111,860,0.14,14,5.24335,5.11679,5.23,5.1,0.0214444,81,3,7058.947954,1.013148,-0.336083
*,*,*,92.0786,850,0.15,15,5.18461,6.02726,5.23,6,0.0529533,78,2,5542.153388,3.227419,-0.384715
*,*,*,96.3397,840,0.16,16,2.14967,6.00768,2.1,6,0.050265,76,3,10218.729852,3.218379,-0.397699
*,*,*,105.07,830,0.17,17,2.1203,5.10699,2.1,5.1,0.0214753,72,4,11898.673413,1.006141,-0.411106
*,*,*,116.011,830,0.17,18,3.81399,5.07762,3.83,5.1,0.0275124,67,5,11418.716487,1.007386,-0.465634
*,*,*,122.626,810,0.19,19,3.84336,4.57833,3.83,4.6,0.0254584,64,5,9766.126546,1.005450,-0.484094
*,*,*,129.281,810,0.19,20,2.05177,4.57833,2.1,4.6,0.0528718,61,3,6833.632225,3.203840,-0.534654
*,*,*,131.473,810,0.19,21,2.09093,3.39373,2.1,3.4,0.0110251,60,2,7132.491725,1.009058,-0.513269
*,*,*,138.104,810,0.19,22,2.57065,3.43289,2.6,3.4,0.0440807,57,4,9392.668485,1.008264,-0.568061
*,*,*,144.613,800,0.2,23,2.57065,4.11819,2.6,4.1,0.0345336,54,4,10969.966112,1.004199,-0.5859
*,*,*,149.012,800,0.2,24,4.68531,4.02029,4.73,4.1,0.0913801,52,3,9427.882583,3.139841,-0.648535
*,*,*,153.227,800,0.2,25,4.73426,2.8259,4.73,2.8,0.0262494,50,4,10831.461938,1.008986,-0.619687
*,*,*,164.211,780,0.22,26,3.96084,2.81611,4,2.8,0.0423425,45,3,11293.370464,3.239253,-0.671757
*,*,*,168.612,770,0.23,27,3.93147,3.56016,4,3.55,0.0692766,43,4,12434.412279,1.007915,-0.706957
*,*,*,177.45,750,0.25,28,3.20701,3.56016,3.255,3.55,0.0490584,39,2,9239.873874,1.003345,-0.721794
*,*,*,181.849,730,0.27,29,3.24617,2.77695,3.255,2.8,0.0246843,37,4,11935.462415,1.005249,-0.713513
*,*,*,188.361,730,0.27,30,1.96366,2.81611,2.1,2.8,0.137286,34,3,16143.087678,3.176725,-0.827965
*,*,*,1.4694e+09,720,*,31,*,*,*,*,2.12467e-316,31,2,10952.847535,0.000000,*
*,*,*,1.4694e+09,710,*,*,*,*,*,*,7.90505e-323,28,144,0.000000,0.000000,*
*,*,*,3.21143e-322,0,*,*,*,*,*,*,2.08905e-316,1280137248,0,0.000000,0.000000,*
